EntryName,RelatedPublication,OriginalDataAuthors,DataAvailability,ResultType,C10,C20,C30 ,ShearModulus,FittingQualityMetric,FittingQualityMetricType,Stretch_Range,Tissue_Category,Tissue_Origin,Tissue_Source,Tissue_Health_Status,Tissue_DirectionalCharacteristic,Tissue_LayerwiseCharacteristics,Other_Tissue_Details,Sample_Dimensions,Sample_Preparation_details,TestingMedium,TestingMode,Experimental_Equipment,ExperimentalDetails,Modelling Details,ModelSettings
Sample1_0.5_circumferential.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.97070032,9.866203828,3.36E-08,1.941400641,0.3075,RMSE,1.3,Cardiac,Porcine,Slaughterhouse,Healthy,Circumferential,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample2_0.5_circumferential.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,1.31899042,9.201169864,1.60E-07,2.63798084,0.1375,RMSE,1.3,Cardiac,Porcine,Slaughterhouse,Healthy,Circumferential,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample3_0.5_circumferential.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.985910515,9.903346149,4.28E-08,1.97182103,0.2707,RMSE,1.3,Cardiac,Porcine,Slaughterhouse,Healthy,Circumferential,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_02c_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,0.037647878,21.43136385,97.62022886,0.075295756,0.0142,RMSE,1.144596,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.673750551,""Samplewidth "": 6 ± 0.5,""Samplelength "": 13 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_ae_01a_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,2.64E-06,8.977603528,4.345328194,5.28E-06,0.0303,RMSE,1.211315,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.857850691,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 9.5 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_ae_03_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,1.430091556,13.43699472,0.00609155,2.860183112,0.0757,RMSE,1.177617,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.504575637,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 11.5 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_aa_02b_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,0.790066441,5.491305346,0.000212397,1.580132882,0.0263,RMSE,1.170873,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.669193073,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 16.5 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_af2d_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,1.970842482,46.97243627,0.000119077,3.941684963,0.0445,RMSE,1.092793,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.739374112,""Samplewidth "": 4 ± 0.5,""Samplelength "": 16 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_ae_01b_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,0.349794559,12.94355801,0.002023947,0.699589117,0.0119,RMSE,1.135031,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.710106771,""Samplewidth "": 6 ± 0.5,""Samplelength "": 8 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_aa_01a_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,1.473364415,38.37025633,3.60E-05,2.946728831,0.0487,RMSE,1.113684,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.641580988,""Samplewidth "": 5 ± 0.5,""Samplelength "": 11 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateralmeniscus_radial_af_01d_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,0.546175222,10.2659413,0.028057541,1.092350444,0.0126,RMSE,1.151592,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.508379112,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 12 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_af_02a_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,2.13E-07,6.650976813,1.65E-08,4.27E-07,0.0396,RMSE,1.237276,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.750776554,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 12.5 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_ae_02c_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,0.629959418,36.03843082,2.02E-05,1.259918837,0.0939,RMSE,1.143973,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.904215515,""Samplewidth "": 7 ± 0.5,""Samplelength "": 15 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_af_2c_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,2.088843402,34.69021031,7.93E-05,4.177686804,0.0563,RMSE,1.096583,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.852835221,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 11.5 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_af_02b_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,0.139399284,6.531812069,11.5042592,0.278798568,0.0144,RMSE,1.161996,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.770253174,""Samplewidth "": 5 ± 0.5,""Samplelength "": 12 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Dry,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_bq_01_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,1.00430576,3.95E-05,38.59083528,2.008611521,0.0119,RMSE,1.15095,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.006193044,""Samplewidth "": 5.85 ± 0.15,""Samplelength "": 12.65 ± 0.15,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Fluid,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
bovine_lateral_meniscus_radial_by_01_yield.csv, 10.1098/rsos.181166,"John M Peloquin , Michael H Santare , Dawn M Elliott ",10.17605/OSF.IO/HQXT8,Individual,1.539860328,28.2459591,5.37E-05,3.079720656,0.0819,RMSE,1.167085,Musculoskeletal,Bovine,Laboratory,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Bovine Meniscus Lateral Radial,""Additional Characteristics"": Bovine Meniscus Lateral Radial]","[""Samplethickness"":1.255794404,""Samplewidth "": 6.8 ± 0.05,""Samplelength "": 13.15 ± 0.15,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution ,""Extra details"":None]",Fluid,UT,Instron 5943,"[""mediummode "": Dry,""preconditioning"":10 cycles @ 4% strain]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
